id,title,authors,year,venue,doi_or_arxiv,url,found_via,notes
C32,"DRCT: Diffusion Reconstruction Contrastive Training towards Universal Detection of Diffusion Generated Images","Chen et al.",2024,"ICML 2024","PMLR 235:7621-7639","https://proceedings.mlr.press/v235/chen24ay.html","diffusion","Contrastive training on diffusion-reconstructed hard samples; DRCT-2M dataset; citation form confirmed 8 Aug 2026 (PMLR carries no DOI)"
C33,"FakeInversion: Learning to Detect Images from Unseen Text-to-Image Models by Inverting Stable Diffusion","Cazenavette et al.",2024,"CVPR 2024","arXiv:2406.08603","https://arxiv.org/abs/2406.08603","diffusion","Inversion-based features from SD detect unseen closed-source T2I generators"
C34,"Zero-Shot Detection of AI-Generated Images","Cozzolino et al.",2024,"ECCV 2024","arXiv:2409.15875","https://arxiv.org/abs/2409.15875","diffusion","ZED: zero-shot entropy-based detector needing no fake training data"
C35,"Community Forensics: Using Thousands of Generators to Train Fake Image Detectors","Park & Owens",2025,"CVPR 2025","arXiv:2411.04125","https://arxiv.org/abs/2411.04125","diffusion; datasets","2.7M images from 4803 generators; generalization scales with generator diversity"
C36,"A Sanity Check for AI-generated Image Detection","Yan et al.",2025,"ICLR 2025","arXiv:2406.19435","https://arxiv.org/abs/2406.19435","diffusion; datasets; vit_clip","Chameleon hard-case benchmark where 9 SOTA detectors fail; AIDE mixture-of-experts detector"
C37,"Towards Universal Fake Image Detectors that Generalize Across Generative Models","Ojha et al.",2023,"CVPR 2023","arXiv:2302.10174","https://arxiv.org/abs/2302.10174","vit_clip; diffusion; gan_cnn","UnivFD: frozen CLIP features + nearest-neighbor/linear probe; large mAP gain on unseen generators"
C38,"Raising the Bar of AI-generated Image Detection with CLIP","Cozzolino et al.",2024,"CVPR Workshops (WMF) 2024","arXiv:2312.00195","https://arxiv.org/abs/2312.00195","vit_clip; diffusion","Few-shot CLIP-based detector; generalizes to DALL-E 3, Midjourney v5, Firefly; robustness quantified"
C39,"Leveraging Representations from Intermediate Encoder-blocks for Synthetic Image Detection","Koutlis & Papadopoulos",2024,"ECCV 2024","arXiv:2402.19091","https://arxiv.org/abs/2402.19091","vit_clip","RINE: intermediate CLIP ViT encoder-block features with learned weighting; large average gain on 20 test sets"
C40,"Forgery-aware Adaptive Transformer for Generalizable Synthetic Image Detection","Liu et al.",2024,"CVPR 2024","arXiv:2312.16649","https://arxiv.org/abs/2312.16649","vit_clip","FatFormer: CLIP with forgery-aware adapter (spatial + frequency) and language-guided alignment"
C41,"C2P-CLIP: Injecting Category Common Prompt in CLIP to Enhance Generalization in Deepfake Detection","Tan et al.",2025,"AAAI 2025","arXiv:2408.09647","https://arxiv.org/abs/2408.09647","vit_clip","Category-common prompts injected into CLIP text encoder; gains across 20 generation models"
C42,"AntifakePrompt: Prompt-Tuned Vision-Language Models are Fake Image Detectors","Chang et al.",2023,"arXiv preprint","arXiv:2310.17419","https://arxiv.org/abs/2310.17419","vit_clip","Soft prompt tuning of InstructBLIP; detection framed as VQA [VERIFY citation status]"
C43,"CLIPping the Deception: Adapting Vision-Language Models for Universal Deepfake Detection","Khan & Dang-Nguyen",2024,"ACM ICMR 2024","arXiv:2402.12927","https://arxiv.org/abs/2402.12927","vit_clip","Systematic comparison of CLIP adaptation strategies (prompt tuning, adapters, linear probe, fine-tune)"
C44,"Cross-Forgery Analysis of Vision Transformers and CNNs for Deepfake Image Detection","Coccomini et al.",2022,"ACM MAD Workshop @ ICMR 2022","arXiv:2206.13829","https://arxiv.org/abs/2206.13829","vit_clip","Direct ViT-vs-CNN comparison; ViTs generalize better to unseen forgery methods"
C45,"Detecting images generated by diffusers","Coccomini et al.",2024,"PeerJ Computer Science","doi:10.7717/peerj-cs.2127","https://peerj.com/articles/cs-2127/","vit_clip","MLPs on frozen CLIP features detect SD/GLIDE images; cross-generator transfer analysis"
C46,"Bi-LORA: A Vision-Language Approach for Synthetic Image Detection","Keita et al.",2025,"Expert Systems (Wiley)","doi:10.1111/exsy.13829","https://onlinelibrary.wiley.com/doi/10.1111/exsy.13829","vit_clip","BLIP2 + LoRA; real/fake classification reframed as captioning"
C47,"Mixture of Low-rank Experts for Transferable AI-Generated Image Detection","Liu et al.",2024,"arXiv preprint","arXiv:2404.04883","https://arxiv.org/abs/2404.04883","vit_clip","MoLE: LoRA experts in deeper CLIP-ViT layers; tiny trainable fraction [VERIFY citation status]"
C48,"Orthogonal Subspace Decomposition for Generalizable AI-Generated Image Detection","Yan et al.",2025,"ICML 2025","arXiv:2411.15633","https://arxiv.org/abs/2411.15633","vit_clip","Effort: SVD splits CLIP feature space; freezes principal subspace, adapts residual against overfitting"
C49,"Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities","Baraldi et al.",2024,"ECCV 2024","arXiv:2407.20337","https://arxiv.org/abs/2407.20337","vit_clip","CoDE: contrastive ViT embedding space for deepfakes; 9.2M-image D3 dataset"
C50,"Generalizable Synthetic Image Detection via Language-guided Contrastive Learning","Wu et al.",2026,"IEEE Transactions on Artificial Intelligence","doi:10.1109/TAI.2025.3641104","https://arxiv.org/abs/2305.13800","vit_clip","LASTED: language-guided contrastive forensic features; published in IEEE TAI vol 7 no 6, June 2026 (Crossref-confirmed 12 Aug 2026, 65 citations) - cite journal version"
C51,"CIFAKE: Image Classification and Explainable Identification of AI-Generated Synthetic Images","Bird & Lotfi",2024,"IEEE Access","arXiv:2303.14126","https://arxiv.org/abs/2303.14126","datasets; xai","Primary project dataset; CNN baseline 92.98% with Grad-CAM analysis showing background artefacts drive decisions"
C52,"GenImage: A Million-Scale Benchmark for Detecting AI-Generated Image","Zhu et al.",2023,"NeurIPS 2023 Datasets & Benchmarks","arXiv:2306.08571","https://arxiv.org/abs/2306.08571","datasets; diffusion","2.68M-image benchmark, 8 generators over ImageNet classes; standard cross-generator testbed; project's secondary dataset"
C53,"ArtiFact: A Large-Scale Dataset with Artificial and Factual Images for Generalizable and Robust Synthetic Image Detection","Rahman et al.",2023,"IEEE ICIP 2023","arXiv:2302.11970","https://arxiv.org/abs/2302.11970","datasets","2.5M images, 25 generation methods, real-world impairments; robustness dataset"
C54,"WildFake: A Large-Scale and Hierarchical Dataset for AI-Generated Images Detection","Hong et al.",2025,"AAAI 2025","arXiv:2402.11843","https://arxiv.org/abs/2402.11843","datasets","Hierarchical in-the-wild fake-image dataset spanning GANs and diffusion models"
C55,"Synthbuster: Towards Detection of Diffusion Model Generated Images","Bammey",2024,"IEEE Open Journal of Signal Processing","doi:10.1109/OJSP.2023.3337714","https://ieeexplore.ieee.org/document/10334046","datasets","Frequency-artifact detector + Synthbuster evaluation set of 9 diffusion generators; DOI and Xplore URL confirmed 8 Aug 2026 (OJSP vol. 5, 2024)"
C56,"TWIGMA: A dataset of AI-Generated Images with Metadata From Twitter","Chen & Zou",2023,"NeurIPS 2023 Datasets & Benchmarks","arXiv:2306.08310","https://arxiv.org/abs/2306.08310","datasets","800K in-the-wild AI-generated images with metadata; what generated content circulates online"
C57,"Synthetic Image Verification in the Era of Generative AI: What Works and What Isn't There Yet","Tariang et al.",2024,"IEEE Security & Privacy","arXiv:2405.00196","https://arxiv.org/abs/2405.00196","datasets","Overview of detection and attribution with experimental comparison of current detectors"
C58,"Detecting Multimedia Generated by Large AI Models: A Survey","Lin et al.",2024,"arXiv preprint (well-cited)","arXiv:2402.00045","https://arxiv.org/abs/2402.00045","datasets","Taxonomy-driven survey of AI-generated content detection; image sections relevant"
C59,"GAN-generated Faces Detection: A Survey and New Perspectives","Wang et al.",2023,"ECAI 2023","arXiv:2202.07145","https://arxiv.org/abs/2202.07145","datasets","Survey of GAN-face still-image detection methods incl. physical/physiological cues"
C60,"Media Forensics and DeepFakes: An Overview","Verdoliva",2020,"IEEE J. Selected Topics in Signal Processing","arXiv:2001.06564","https://arxiv.org/abs/2001.06564","datasets","Canonical early survey of image forensics and synthetic-media detection"
C61,"Grad-CAM: Visual Explanations from Deep Networks via Gradient-based Localization","Selvaraju et al.",2017,"ICCV 2017","arXiv:1610.02391","https://arxiv.org/abs/1610.02391","xai","Original Grad-CAM; the XAI method planned for Semester 8"
C62,"Grad-CAM++: Improved Visual Explanations for Deep Convolutional Networks","Chattopadhyay et al.",2018,"WACV 2018","arXiv:1710.11063","https://arxiv.org/abs/1710.11063","xai","CAM-family successor; commonly benchmarked in detector-interpretation studies"
C63,"Towards Quantitative Evaluation of Explainable AI Methods for Deepfake Detection","Tsigos et al.",2024,"ACM MAD Workshop @ ICMR 2024","arXiv:2404.18649","https://arxiv.org/abs/2404.18649","xai","Quantitative comparison of Grad-CAM++/LIME/SHAP/SOBOL explanations of a deepfake image detector"
C64,"Interpretable-Through-Prototypes Deepfake Detection for Diffusion Models","Aghasanli et al.",2023,"ICCV 2023 Workshops (DFAD)","doi:10.1109/ICCVW60793.2023.00053","https://openaccess.thecvf.com/content/ICCV2023W/DFAD/html/Aghasanli_Interpretable-Through-Prototypes_Deepfake_Detection_for_Diffusion_Models_ICCVW_2023_paper.html","xai","Prototype-based interpretable detection of diffusion images using ViT features; IEEE DOI confirmed 8 Aug 2026 (CVF pp. 467-474 is free full text)"
C65,"TruthLens: Visual Grounding for Universal DeepFake Reasoning","Kundu et al.",2025,"arXiv preprint","arXiv:2503.15867","https://arxiv.org/abs/2503.15867","xai","MLLM detector producing region-grounded textual explanations; 1 citation (S2, 8 Aug 2026) - fails well-cited-preprint criterion; do not conflate with same-named arXiv:2503.15342"
C66,"Generative Adversarial Networks","Goodfellow et al.",2014,"NeurIPS 2014","arXiv:1406.2661","https://arxiv.org/abs/1406.2661","background","Foundational GAN paper (Section 2)"
C67,"Analyzing and Improving the Image Quality of StyleGAN","Karras et al.",2020,"CVPR 2020","arXiv:1912.04958","https://arxiv.org/abs/1912.04958","background","StyleGAN2; canonical high-fidelity GAN generator (Section 2)"
C68,"Denoising Diffusion Probabilistic Models","Ho et al.",2020,"NeurIPS 2020","arXiv:2006.11239","https://arxiv.org/abs/2006.11239","background","DDPM; foundational diffusion paper (Section 2)"
C69,"High-Resolution Image Synthesis with Latent Diffusion Models","Rombach et al.",2022,"CVPR 2022","arXiv:2112.10752","https://arxiv.org/abs/2112.10752","background","Latent/Stable Diffusion; generator behind CIFAKE's fake class (Section 2)"
C70,"An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale","Dosovitskiy et al.",2021,"ICLR 2021","arXiv:2010.11929","https://arxiv.org/abs/2010.11929","background","ViT; Semester 8 benchmark architecture (Sections 2-3)"
C71,"Learning Transferable Visual Models From Natural Language Supervision","Radford et al.",2021,"ICML 2021","arXiv:2103.00020","https://arxiv.org/abs/2103.00020","background","CLIP; basis of foundation-model detectors (Section 3.4)"
C72,"Deep Residual Learning for Image Recognition","He et al.",2016,"CVPR 2016","arXiv:1512.03385","https://arxiv.org/abs/1512.03385","background","ResNet; ResNet50 is a Semester 8 backbone"
C73,"Densely Connected Convolutional Networks","Huang et al.",2017,"CVPR 2017","arXiv:1608.06993","https://arxiv.org/abs/1608.06993","background","DenseNet; DenseNet121 is a Semester 8 backbone"
C74,"EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks","Tan & Le",2019,"ICML 2019","arXiv:1905.11946","https://arxiv.org/abs/1905.11946","background","EfficientNet; EfficientNet-B0 is a Semester 8 backbone"
C75,"Very Deep Convolutional Networks for Large-Scale Image Recognition","Simonyan & Zisserman",2015,"ICLR 2015","arXiv:1409.1556","https://arxiv.org/abs/1409.1556","background","VGG; VGG19 is a Semester 8 backbone"
